Age;Adolescent->1;Adult,Senior->0
SocioEcon;Prole,Middle->1;UpperMiddle,Wealthy->0
RiskAversion;Psychopath,Adventurous->1;Normal,Cautious->0
ThisCarDam;None,Mild->1;Moderate,Severe->0
RuggedAuto;EggShell->1;Football,Tank->0
Accident;None,Mild->1;Moderate,Severe->0
MakeModel;SportsCar,Luxury,SuperLuxury->1;Economy,FamilySedan->0
DrivQuality;Poor->1;Normal,Excellent->0
Mileage;FiveThou,TwentyThou->1;FiftyThou,Domino->0
DrivingSkill;SubStandard->1;Normal,Expert->0
ThisCarCost;Thousand,TenThou->1;HundredThou,Million->0
CarValue;FiveThou,TenThou,TwentyThou->1,FiftyThou,Million->0
HomeBase;Secure,City->1;Suburb,Rural->0
PropCost;Thousand,TenThou->1;HundredThou,Million->0
OtherCarCost;Thousand,TenThou->1;HundredThou,Million->0
MedCost;Thousand,TenThou->1;HundredThou,Million->0
Cushioning;Poor,Fair->1;Good,Excellent->0
ILiCost;Thousand,TenThou->1;HundredThou,Million->0
DrivHist;Zero,One->1;Many->0
